Country,Continent,Risk Score,Advisory Message,Last Updated,Source
Andorra,EU,3.0,Andorra has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Andorra.,2024-08-13 08:21:03,https://www.travel-advisory.info/andorra
United Arab Emirates,AS,3.2,United Arab Emirates has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling United Arab Emirates.,2024-08-13 08:21:03,https://www.travel-advisory.info/united-arab-emirates
Afghanistan,AS,5.0,Afghanistan has a current risk level of 5 (out of 5). We advise: It is not safe to travel Afghanistan.,2024-08-13 08:21:03,https://www.travel-advisory.info/afghanistan
Antigua and Barbuda,NA,2.5,Antigua and Barbuda has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Antigua and Barbuda.,2024-08-13 08:21:03,https://www.travel-advisory.info/antigua-and-barbuda
Anguilla,NA,2.5,Anguilla has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Anguilla.,2024-08-13 08:21:03,https://www.travel-advisory.info/anguilla
Albania,EU,3.6,Albania has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Albania.,2024-08-13 08:21:03,https://www.travel-advisory.info/albania
Armenia,AS,3.3,Armenia has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Armenia.,2024-08-13 08:21:03,https://www.travel-advisory.info/armenia
Angola,AF,3.0,Angola has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Angola.,2024-08-13 08:21:03,https://www.travel-advisory.info/angola
Argentina,SA,3.2,Argentina has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Argentina.,2024-08-13 08:21:03,https://www.travel-advisory.info/argentina
American Samoa,OC,0.0,American Samoa has a current risk level of 0 (out of 5). We advise: Travelling American Samoa is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/american-samoa
Austria,EU,3.0,Austria has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Austria.,2024-08-13 08:21:03,https://www.travel-advisory.info/austria
Australia,OC,2.3,Australia has a current risk level of 2.3 (out of 5). We advise: Travelling Australia is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/australia
Aruba,NA,1.0,Aruba has a current risk level of 1 (out of 5). We advise: Travelling Aruba is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/aruba
Azerbaijan,AS,3.3,Azerbaijan has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Azerbaijan.,2024-08-13 08:21:03,https://www.travel-advisory.info/azerbaijan
Bosnia and Herzegovina,EU,3.5,Bosnia and Herzegovina has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Bosnia and Herzegovina.,2024-08-13 08:21:03,https://www.travel-advisory.info/bosnia-and-herzegovina
Barbados,NA,2.5,Barbados has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Barbados.,2024-08-13 08:21:03,https://www.travel-advisory.info/barbados
Bangladesh,AS,4.1,Bangladesh has a current risk level of 4.1 (out of 5). We advise: Please reconsider your need to travel to Bangladesh.,2024-08-13 08:21:03,https://www.travel-advisory.info/bangladesh
Belgium,EU,3.0,Belgium has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Belgium.,2024-08-13 08:21:03,https://www.travel-advisory.info/belgium
Burkina Faso,AF,4.1,Burkina Faso has a current risk level of 4.1 (out of 5). We advise: Please reconsider your need to travel to Burkina Faso.,2024-08-13 08:21:03,https://www.travel-advisory.info/burkina-faso
Bulgaria,EU,2.8,Bulgaria has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Bulgaria.,2024-08-13 08:21:03,https://www.travel-advisory.info/bulgaria
Bahrain,AS,3.5,Bahrain has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Bahrain.,2024-08-13 08:21:03,https://www.travel-advisory.info/bahrain
Burundi,AF,4.0,Burundi has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Burundi.,2024-08-13 08:21:03,https://www.travel-advisory.info/burundi
Benin,AF,3.2,Benin has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Benin.,2024-08-13 08:21:03,https://www.travel-advisory.info/benin
Saint Barthélemy,NA,0.0,Saint Barthélemy has a current risk level of 0 (out of 5). We advise: Travelling Saint Barthélemy is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-barthelemy
Bermuda,NA,2.5,Bermuda has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Bermuda.,2024-08-13 08:21:03,https://www.travel-advisory.info/bermuda
Brunei,AS,3.0,Brunei has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Brunei.,2024-08-13 08:21:03,https://www.travel-advisory.info/brunei
Bolivia,SA,3.2,Bolivia has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Bolivia.,2024-08-13 08:21:03,https://www.travel-advisory.info/bolivia
Brazil,SA,3.1,Brazil has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Brazil.,2024-08-13 08:21:03,https://www.travel-advisory.info/brazil
Bahamas,NA,3.0,Bahamas has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Bahamas.,2024-08-13 08:21:03,https://www.travel-advisory.info/bahamas
Bhutan,AS,3.0,Bhutan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Bhutan.,2024-08-13 08:21:03,https://www.travel-advisory.info/bhutan
Botswana,AF,3.0,Botswana has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Botswana.,2024-08-13 08:21:03,https://www.travel-advisory.info/botswana
Belarus,EU,4.9,Belarus has a current risk level of 4.9 (out of 5). We advise: It is not safe to travel Belarus.,2024-08-13 08:21:03,https://www.travel-advisory.info/belarus
Belize,NA,3.0,Belize has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Belize.,2024-08-13 08:21:03,https://www.travel-advisory.info/belize
Canada,NA,2.8,Canada has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Canada.,2024-08-13 08:21:03,https://www.travel-advisory.info/canada
Cocos Islands,SA,0.0,Cocos Islands has a current risk level of 0 (out of 5). We advise: Travelling Cocos Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/cocos-islands
Democratic Republic of the Congo,AF,3.7,Democratic Republic of the Congo has a current risk level of 3.7 (out of 5). We advise: Please reconsider your need to travel to Democratic Republic of the Congo.,2024-08-13 08:21:03,https://www.travel-advisory.info/democratic-republic-of-the-congo
Central African Republic,AF,5.0,Central African Republic has a current risk level of 5 (out of 5). We advise: It is not safe to travel Central African Republic.,2024-08-13 08:21:03,https://www.travel-advisory.info/central-african-republic
Republic of the Congo,AF,2.7,Republic of the Congo has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Republic of the Congo.,2024-08-13 08:21:03,https://www.travel-advisory.info/republic-of-the-congo
Switzerland,EU,4.0,Switzerland has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Switzerland.,2024-08-13 08:21:03,https://www.travel-advisory.info/switzerland
Ivory Coast,AF,3.3,Ivory Coast has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Ivory Coast.,2024-08-13 08:21:03,https://www.travel-advisory.info/ivory-coast
Cook Islands,OC,5.0,Cook Islands has a current risk level of 5 (out of 5). We advise: It is not safe to travel Cook Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/cook-islands
Chile,SA,3.3,Chile has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Chile.,2024-08-13 08:21:03,https://www.travel-advisory.info/chile
Cameroon,AF,3.2,Cameroon has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Cameroon.,2024-08-13 08:21:03,https://www.travel-advisory.info/cameroon
China,AS,3.4,China has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling China.,2024-08-13 08:21:03,https://www.travel-advisory.info/china
Colombia,SA,3.3,Colombia has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Colombia.,2024-08-13 08:21:03,https://www.travel-advisory.info/colombia
Costa Rica,NA,3.3,Costa Rica has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Costa Rica.,2024-08-13 08:21:03,https://www.travel-advisory.info/costa-rica
Cuba,NA,2.8,Cuba has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Cuba.,2024-08-13 08:21:03,https://www.travel-advisory.info/cuba
Cape Verde,AF,2.5,Cape Verde has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Cape Verde.,2024-08-13 08:21:03,https://www.travel-advisory.info/cape-verde
Christmas Island,OC,0.0,Christmas Island has a current risk level of 0 (out of 5). We advise: Travelling Christmas Island is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/christmas-island
Cyprus,EU,3.0,Cyprus has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Cyprus.,2024-08-13 08:21:03,https://www.travel-advisory.info/cyprus
Czech Republic,EU,3.2,Czech Republic has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Czech Republic.,2024-08-13 08:21:03,https://www.travel-advisory.info/czech-republic
Germany,EU,3.0,Germany has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Germany.,2024-08-13 08:21:03,https://www.travel-advisory.info/germany
Djibouti,AF,3.2,Djibouti has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Djibouti.,2024-08-13 08:21:03,https://www.travel-advisory.info/djibouti
Denmark,EU,3.2,Denmark has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Denmark.,2024-08-13 08:21:03,https://www.travel-advisory.info/denmark
Dominica,NA,2.5,Dominica has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Dominica.,2024-08-13 08:21:03,https://www.travel-advisory.info/dominica
Dominican Republic,NA,3.0,Dominican Republic has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Dominican Republic.,2024-08-13 08:21:03,https://www.travel-advisory.info/dominican-republic
Algeria,AF,3.0,Algeria has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Algeria.,2024-08-13 08:21:03,https://www.travel-advisory.info/algeria
Ecuador,SA,3.3,Ecuador has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Ecuador.,2024-08-13 08:21:03,https://www.travel-advisory.info/ecuador
Estonia,EU,2.6,Estonia has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Estonia.,2024-08-13 08:21:03,https://www.travel-advisory.info/estonia
Egypt,AF,3.4,Egypt has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Egypt.,2024-08-13 08:21:03,https://www.travel-advisory.info/egypt
Western Sahara,AF,0.0,Western Sahara has a current risk level of 0 (out of 5). We advise: Travelling Western Sahara is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/western-sahara
Eritrea,AF,3.2,Eritrea has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Eritrea.,2024-08-13 08:21:03,https://www.travel-advisory.info/eritrea
Spain,EU,3.0,Spain has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Spain.,2024-08-13 08:21:03,https://www.travel-advisory.info/spain
Ethiopia,AF,3.5,Ethiopia has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Ethiopia.,2024-08-13 08:21:03,https://www.travel-advisory.info/ethiopia
Finland,EU,3.0,Finland has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Finland.,2024-08-13 08:21:03,https://www.travel-advisory.info/finland
Fiji,OC,3.0,Fiji has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Fiji.,2024-08-13 08:21:03,https://www.travel-advisory.info/fiji
Falkland Islands,SA,0.0,Falkland Islands has a current risk level of 0 (out of 5). We advise: Travelling Falkland Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/falkland-islands
Micronesia,OC,1.0,Micronesia has a current risk level of 1 (out of 5). We advise: Travelling Micronesia is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/micronesia
Faroe Islands,EU,0.0,Faroe Islands has a current risk level of 0 (out of 5). We advise: Travelling Faroe Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/faroe-islands
France,EU,3.0,France has a current risk level of 3 (out of 5). We advise: Use some caution when travelling France.,2024-08-13 08:21:03,https://www.travel-advisory.info/france
Gabon,AF,3.5,Gabon has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Gabon.,2024-08-13 08:21:03,https://www.travel-advisory.info/gabon
United Kingdom,EU,3.0,United Kingdom has a current risk level of 3 (out of 5). We advise: Use some caution when travelling United Kingdom.,2024-08-13 08:21:03,https://www.travel-advisory.info/united-kingdom
Grenada,NA,2.5,Grenada has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Grenada.,2024-08-13 08:21:03,https://www.travel-advisory.info/grenada
Georgia,AS,3.0,Georgia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Georgia.,2024-08-13 08:21:03,https://www.travel-advisory.info/georgia
French Guiana,SA,4.0,French Guiana has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to French Guiana.,2024-08-13 08:21:03,https://www.travel-advisory.info/french-guiana
Guernsey,EU,0.0,Guernsey has a current risk level of 0 (out of 5). We advise: Travelling Guernsey is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/guernsey
Ghana,AF,3.4,Ghana has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Ghana.,2024-08-13 08:21:03,https://www.travel-advisory.info/ghana
Gibraltar,EU,0.0,Gibraltar has a current risk level of 0 (out of 5). We advise: Travelling Gibraltar is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/gibraltar
Greenland,NA,0.0,Greenland has a current risk level of 0 (out of 5). We advise: Travelling Greenland is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/greenland
Gambia,AF,2.8,Gambia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Gambia.,2024-08-13 08:21:03,https://www.travel-advisory.info/gambia
Guinea,AF,4.0,Guinea has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guinea.,2024-08-13 08:21:03,https://www.travel-advisory.info/guinea
