Country,Continent,Risk Score,Advisory Message,Last Updated,Source,Latitude,Longitude,Recommendation,Details
Andorra,EU,3.0,Andorra has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Andorra.,2024-08-13 08:21:03,https://www.travel-advisory.info/andorra,42.5407167,1.5732033,Travel with Caution - Preferred Continent,Andorra has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Andorra.
United Arab Emirates,AS,3.2,United Arab Emirates has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling United Arab Emirates.,2024-08-13 08:21:03,https://www.travel-advisory.info/united-arab-emirates,24.0002488,53.9994829,Travel with Caution,United Arab Emirates has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling United Arab Emirates.
Afghanistan,AS,5.0,Afghanistan has a current risk level of 5 (out of 5). We advise: It is not safe to travel Afghanistan.,2024-08-13 08:21:03,https://www.travel-advisory.info/afghanistan,33.7680065,66.2385139,Not Recommended for Travel,Afghanistan has a current risk level of 5 (out of 5). We advise: It is not safe to travel Afghanistan.
Antigua and Barbuda,,2.5,Antigua and Barbuda has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Antigua and Barbuda.,2024-08-13 08:21:03,https://www.travel-advisory.info/antigua-and-barbuda,17.2234721,-61.9554608,Travel with Caution,Antigua and Barbuda has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Antigua and Barbuda.
Anguilla,,2.5,Anguilla has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Anguilla.,2024-08-13 08:21:03,https://www.travel-advisory.info/anguilla,18.1954947,-63.0750234,Travel with Caution,Anguilla has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Anguilla.
Albania,EU,3.6,Albania has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Albania.,2024-08-13 08:21:03,https://www.travel-advisory.info/albania,11.244803399999999,-72.51609706675976,Travel with Caution - Preferred Continent,Albania has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Albania.
Armenia,AS,3.3,Armenia has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Armenia.,2024-08-13 08:21:03,https://www.travel-advisory.info/armenia,4.491976149999999,-75.74135085294314,Travel with Caution,Armenia has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Armenia.
Angola,AF,3.0,Angola has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Angola.,2024-08-13 08:21:03,https://www.travel-advisory.info/angola,-11.8775768,17.5691241,Travel with Caution,Angola has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Angola.
Argentina,SA,3.2,Argentina has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Argentina.,2024-08-13 08:21:03,https://www.travel-advisory.info/argentina,-34.9964963,-64.9672817,Travel with Caution,Argentina has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Argentina.
American Samoa,OC,0.0,American Samoa has a current risk level of 0 (out of 5). We advise: Travelling American Samoa is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/american-samoa,-14.297124,-170.7131481,Safe to Travel,American Samoa has a current risk level of 0 (out of 5). We advise: Travelling American Samoa is (relatively) safe.
Austria,EU,3.0,Austria has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Austria.,2024-08-13 08:21:03,https://www.travel-advisory.info/austria,47.59397,14.12456,Travel with Caution - Preferred Continent,Austria has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Austria.
Australia,OC,2.3,Australia has a current risk level of 2.3 (out of 5). We advise: Travelling Australia is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/australia,-24.7761086,134.755,Travel with Caution,Australia has a current risk level of 2.3 (out of 5). We advise: Travelling Australia is (relatively) safe.
Aruba,,1.0,Aruba has a current risk level of 1 (out of 5). We advise: Travelling Aruba is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/aruba,12.5013629,-69.9618475,Safe to Travel,Aruba has a current risk level of 1 (out of 5). We advise: Travelling Aruba is (relatively) safe.
Azerbaijan,AS,3.3,Azerbaijan has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Azerbaijan.,2024-08-13 08:21:03,https://www.travel-advisory.info/azerbaijan,40.3936294,47.7872508,Travel with Caution,Azerbaijan has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Azerbaijan.
Bosnia and Herzegovina,EU,3.5,Bosnia and Herzegovina has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Bosnia and Herzegovina.,2024-08-13 08:21:03,https://www.travel-advisory.info/bosnia-and-herzegovina,44.3053476,17.5961467,Travel with Caution - Preferred Continent,Bosnia and Herzegovina has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Bosnia and Herzegovina.
Barbados,,2.5,Barbados has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Barbados.,2024-08-13 08:21:03,https://www.travel-advisory.info/barbados,13.1500331,-59.5250305,Travel with Caution,Barbados has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Barbados.
Bangladesh,AS,4.1,Bangladesh has a current risk level of 4.1 (out of 5). We advise: Please reconsider your need to travel to Bangladesh.,2024-08-13 08:21:03,https://www.travel-advisory.info/bangladesh,-0.2864982,36.0514231,Not Recommended for Travel,Bangladesh has a current risk level of 4.1 (out of 5). We advise: Please reconsider your need to travel to Bangladesh.
Belgium,EU,3.0,Belgium has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Belgium.,2024-08-13 08:21:03,https://www.travel-advisory.info/belgium,50.6402809,4.6667145,Travel with Caution - Preferred Continent,Belgium has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Belgium.
Burkina Faso,AF,4.1,Burkina Faso has a current risk level of 4.1 (out of 5). We advise: Please reconsider your need to travel to Burkina Faso.,2024-08-13 08:21:03,https://www.travel-advisory.info/burkina-faso,12.0753083,-1.6880314,Not Recommended for Travel,Burkina Faso has a current risk level of 4.1 (out of 5). We advise: Please reconsider your need to travel to Burkina Faso.
Bulgaria,EU,2.8,Bulgaria has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Bulgaria.,2024-08-13 08:21:03,https://www.travel-advisory.info/bulgaria,42.6073975,25.4856617,Travel with Caution - Preferred Continent,Bulgaria has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Bulgaria.
Bahrain,AS,3.5,Bahrain has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Bahrain.,2024-08-13 08:21:03,https://www.travel-advisory.info/bahrain,26.1551249,50.5344606,Travel with Caution,Bahrain has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Bahrain.
Burundi,AF,4.0,Burundi has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Burundi.,2024-08-13 08:21:03,https://www.travel-advisory.info/burundi,-3.426449,29.9324519,Not Recommended for Travel,Burundi has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Burundi.
Benin,AF,3.2,Benin has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Benin.,2024-08-13 08:21:03,https://www.travel-advisory.info/benin,9.5293472,2.2584408,Travel with Caution,Benin has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Benin.
Saint Barthélemy,,0.0,Saint Barthélemy has a current risk level of 0 (out of 5). We advise: Travelling Saint Barthélemy is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-barthelemy,17.9036287,-62.81152921501989,Safe to Travel,Saint Barthélemy has a current risk level of 0 (out of 5). We advise: Travelling Saint Barthélemy is (relatively) safe.
Bermuda,,2.5,Bermuda has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Bermuda.,2024-08-13 08:21:03,https://www.travel-advisory.info/bermuda,32.2937417,-64.7815286,Travel with Caution,Bermuda has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Bermuda.
Brunei,AS,3.0,Brunei has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Brunei.,2024-08-13 08:21:03,https://www.travel-advisory.info/brunei,4.4137155,114.5653908,Travel with Caution,Brunei has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Brunei.
Bolivia,SA,3.2,Bolivia has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Bolivia.,2024-08-13 08:21:03,https://www.travel-advisory.info/bolivia,-17.0568696,-64.9912286,Travel with Caution,Bolivia has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Bolivia.
Brazil,SA,3.1,Brazil has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Brazil.,2024-08-13 08:21:03,https://www.travel-advisory.info/brazil,-10.3333333,-53.2,Travel with Caution,Brazil has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Brazil.
Bahamas,,3.0,Bahamas has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Bahamas.,2024-08-13 08:21:03,https://www.travel-advisory.info/bahamas,24.7736546,-78.0000547,Travel with Caution,Bahamas has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Bahamas.
