Country,Continent,Risk Score,Advisory Message,Last Updated,Source,Recommendation,Details
Andorra,EU,3.0,Andorra has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Andorra.,2024-08-13 08:21:03,https://www.travel-advisory.info/andorra,Travel with Caution,Andorra has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Andorra.
United Arab Emirates,AS,3.2,United Arab Emirates has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling United Arab Emirates.,2024-08-13 08:21:03,https://www.travel-advisory.info/united-arab-emirates,Travel with Caution,United Arab Emirates has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling United Arab Emirates.
Afghanistan,AS,5.0,Afghanistan has a current risk level of 5 (out of 5). We advise: It is not safe to travel Afghanistan.,2024-08-13 08:21:03,https://www.travel-advisory.info/afghanistan,Not Recommended for Travel,Afghanistan has a current risk level of 5 (out of 5). We advise: It is not safe to travel Afghanistan.
Antigua and Barbuda,,2.5,Antigua and Barbuda has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Antigua and Barbuda.,2024-08-13 08:21:03,https://www.travel-advisory.info/antigua-and-barbuda,Travel with Caution,Antigua and Barbuda has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Antigua and Barbuda.
Anguilla,,2.5,Anguilla has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Anguilla.,2024-08-13 08:21:03,https://www.travel-advisory.info/anguilla,Travel with Caution,Anguilla has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Anguilla.
Albania,EU,3.6,Albania has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Albania.,2024-08-13 08:21:03,https://www.travel-advisory.info/albania,Travel with Caution,Albania has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Albania.
Armenia,AS,3.3,Armenia has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Armenia.,2024-08-13 08:21:03,https://www.travel-advisory.info/armenia,Travel with Caution,Armenia has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Armenia.
Angola,AF,3.0,Angola has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Angola.,2024-08-13 08:21:03,https://www.travel-advisory.info/angola,Travel with Caution,Angola has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Angola.
Argentina,SA,3.2,Argentina has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Argentina.,2024-08-13 08:21:03,https://www.travel-advisory.info/argentina,Travel with Caution,Argentina has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Argentina.
American Samoa,OC,0.0,American Samoa has a current risk level of 0 (out of 5). We advise: Travelling American Samoa is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/american-samoa,Safe to Travel,American Samoa has a current risk level of 0 (out of 5). We advise: Travelling American Samoa is (relatively) safe.
